対局日,期,棋戦,備考,ブロック,回戦,局,先手の勝敗,先手,後手,後手の勝敗,千日手,放送日
2024-07-11,83,順位戦,C級2組,,2,,●,杉本和陽,黒沢怜生,○,,
2024-07-11,83,順位戦,C級2組,,2,,●,井出隼平,佐藤慎一,○,,
2024-07-11,83,順位戦,C級2組,,2,,●,長谷部浩平,谷合廣紀,○,,
2024-07-11,83,順位戦,C級2組,,2,,○,山川泰熙,岡部怜央,●,,
2024-07-11,83,順位戦,C級2組,,2,,○,平藤眞吾,折田翔吾,●,,
2024-07-11,83,順位戦,C級2組,,2,,○,八代弥,森本才跳,●,,
2024-07-11,83,順位戦,C級2組,,2,,○,齊藤裕也,井田明宏,●,,
2024-07-11,83,順位戦,C級2組,,2,,○,上野裕寿,森下卓,●,,
2024-07-11,83,順位戦,C級2組,,2,,●,小林裕士,阿部光瑠,○,,
2024-07-11,83,順位戦,C級2組,,2,,○,田村康介,長岡裕也,●,,
2024-07-11,83,順位戦,C級2組,,2,,□,石川優太,中村亮介,■,,
2024-07-11,,棋王戦,挑決トーナメント,,,,○,梶浦宏孝,佐々木勇気,●,,
2024-07-12,83,順位戦,A級,,2,,●,菅井竜也,永瀬拓矢,○,,
2024-07-12,,朝日杯,一次予選,,,,○,岡崎洋,木下浩一,●,,
2024-07-12,,朝日杯,一次予選,,,,●,岡崎洋,石田直裕,○,,
2024-07-12,,青流戦,,,,,○,古井丈大,小山直希,●,,
2024-07-12,,達人戦,予選,,,,○,瀬川晶司,神谷広志,●,,
2024-07-13,83,順位戦,B級1組,,,,○,羽生善治,大石直嗣,●,,
2024-07-13,,JT杯,,,,,●,糸谷哲郎,豊島将之,○,,
2024-07-15,74,王将戦,二次予選,,,,○,斎藤慎太郎,藤本渚,●,千日手,
2024-07-15,74,NHK杯,本戦,,2,1,○,小山怜央,谷川浩司,●,,2024-08-11
2024-07-15,74,NHK杯,本戦,,2,2,○,糸谷哲郎,菅井竜也,●,,2024-08-18
2024-07-16,37,竜王戦,6組 昇決,,,,○,柵木幹太,冨田誠也,●,,
2024-07-16,83,順位戦,B級1組,,,,○,高見泰地,山崎隆之,●,,
2024-07-16,10,叡王戦,予選,,,,○,森下卓,塚田泰明,●,,
2024-07-16,10,叡王戦,予選,,,,●,及川拓馬,戸辺誠,○,,
2024-07-16,10,叡王戦,予選,,,,○,村山慈明,浦野真彦,●,,
2024-07-16,10,叡王戦,予選,,,,○,稲葉陽,村山慈明,●,,
2024-07-16,,棋王戦,挑決トーナメント,,,,○,羽生善治,菅井竜也,●,,
2024-07-16,,朝日杯,一次予選,,,,○,屋敷伸之,鈴木大介,●,,
2024-07-16,32,銀河戦,本戦トーナメント,F,11,,●,永瀬拓矢,郷田真隆,○,,2024-10-24
2024-07-17,37,竜王戦,決勝トーナメント,,,,●,久保利明,佐々木勇気,○,,
2024-07-17,37,竜王戦,3組 昇決,,,,●,大石直嗣,佐々木慎,○,,
2024-07-17,37,竜王戦,4組 昇決,,,,●,横山泰明,服部慎一郎,○,,
2024-07-17,10,叡王戦,予選,,,,○,矢倉規広,増田裕司,●,,
2024-07-17,10,叡王戦,予選,,,,○,矢倉規広,平藤眞吾,●,,
2024-07-17,74,王将戦,二次予選,,,,○,西田拓也,岡部怜央,●,,
2024-07-17,,朝日杯,一次予選,,,,○,渡辺正和,富岡英作,●,,
2024-07-17,,朝日杯,一次予選,,,,○,井出隼平,渡辺正和,●,,
2024-07-17,,朝日杯,一次予選,,,,○,山川泰熙,先崎学,●,,
2024-07-17,,朝日杯,一次予選,,,,○,北浜健介,狩山幹生,●,,
2024-07-17,,朝日杯,一次予選,,,,●,杉本昌隆,高田明浩,○,,
2024-07-17,,王位戦,第2局,,,,○,渡辺明,藤井聡太,●,,
2024-07-18,37,竜王戦,決勝トーナメント,,,,●,斎藤慎太郎,広瀬章人,○,,
2024-07-18,83,順位戦,C級2組,,2,,○,高野智史,高橋道雄,●,,
2024-07-18,83,順位戦,C級2組,,2,,○,高橋佑二郎,島朗,●,,
2024-07-18,83,順位戦,C級2組,,2,,○,佐藤紳哉,小山直希,●,,
2024-07-18,83,順位戦,C級2組,,2,,□,石田直裕,梶浦宏孝,■,,
2024-07-18,83,順位戦,C級2組,,2,,●,佐々木大地,徳田拳士,○,,
2024-07-18,83,順位戦,C級2組,,2,,○,遠山雄亮,渡辺大夢,●,,
2024-07-18,83,順位戦,C級2組,,2,,●,上村亘,瀬川晶司,○,,
2024-07-18,83,順位戦,C級2組,,2,,○,山本博志,星野良生,●,,
2024-07-18,83,順位戦,C級2組,,2,,○,安用寺孝功,藤森哲也,●,,
2024-07-18,83,順位戦,C級2組,,2,,●,横山友紀,西川和宏,○,,
2024-07-18,83,順位戦,C級2組,,2,,●,牧野光則,本田奎,○,,
2024-07-18,83,順位戦,C級2組,,2,,○,狩山幹生,宮嶋健太,●,,
2024-07-18,10,叡王戦,予選,,,,○,中田功,小林裕士,●,,
2024-07-18,10,叡王戦,予選,,,,●,阪口悟,山本真也,○,,
2024-07-18,74,王将戦,二次予選,,,,○,三枚堂達也,中村太地,●,,
2024-07-18,,棋聖戦,一次予選,,,,●,藤本渚,折田翔吾,○,,
2024-07-18,,棋聖戦,一次予選,,,,○,阿部隆,折田翔吾,●,,
2024-07-18,,朝日杯,一次予選,,,,●,村中秀史,渡辺和史,○,,
2024-07-19,37,竜王戦,決勝トーナメント,,,,○,佐藤康光,池永天志,●,,
2024-07-19,10,叡王戦,予選,,,,○,千葉幸生,勝又清和,●,,
2024-07-19,10,叡王戦,予選,,,,○,近藤誠也,千葉幸生,●,,
2024-07-19,10,叡王戦,予選,,,,○,船江恒平,村田智弘,●,,
2024-07-19,10,叡王戦,予選,,,,●,船江恒平,都成竜馬,○,,
2024-07-19,,棋王戦,挑決トーナメント,,4,,○,斎藤明日斗,糸谷哲郎,●,,
2024-07-19,,棋聖戦,一次予選,,4,,○,井田明宏,中田功,●,,
2024-07-19,,棋聖戦,一次予選,,4,,○,井田明宏,齊藤裕也,●,,
2024-07-19,,朝日杯,一次予選,,,,●,深浦康市,谷合廣紀,○,,
2024-07-19,,朝日杯,一次予選,,,,○,西尾明,真田圭一,●,,
2024-07-19,,朝日杯,一次予選,,,,○,八代弥,宮田敦史,●,,
2024-07-19,,朝日杯,一次予選,,,,○,増田康宏,飯島栄治,●,,
2024-07-19,,朝日杯,一次予選,,,,○,堀口一史座,高野秀行,●,,
2024-07-19,,朝日杯,一次予選,,,,●,堀口一史座,三浦弘行,○,,
2024-07-19,,朝日杯,一次予選,,,,○,神谷広志,所司和晴,●,,
2024-07-19,,朝日杯,一次予選,,,,●,神谷広志,日浦市郎,○,,
2024-07-20,,JT杯,,,,,○,丸山忠久,菅井竜也,●,,
2024-07-20,,青流戦,,,,,●,稲葉聡,生垣寛人,○,,
2024-07-22,83,順位戦,B級1組,,,,○,三浦弘行,佐藤康光,●,,
2024-07-22,83,順位戦,C級2組,,2,,○,今泉健司,池永天志,●,,
2024-07-22,,王座戦,挑決,,,,●,羽生善治,永瀬拓矢,○,,
2024-07-22,74,王将戦,二次予選,,,,●,服部慎一郎,広瀬章人,○,,
2024-07-22,,朝日杯,一次予選,,,,○,長谷部浩平,泉正樹,●,,
2024-07-22,,朝日杯,一次予選,,,,○,長谷部浩平,三枚堂達也,●,,
2024-07-22,,朝日杯,一次予選,,,,●,阪口悟,古森悠太,○,,
2024-07-22,,朝日杯,一次予選,,,,●,古森悠太,山崎隆之,○,,
2024-07-23,37,竜王戦,4組 昇決,,,,○,飯島栄治,北島忠雄,●,,
2024-07-23,10,叡王戦,予選,,,,○,屋敷伸之,中村修,●,,
2024-07-23,10,叡王戦,予選,,,,○,佐藤慎一,星野良生,●,,
2024-07-23,10,叡王戦,予選,,,,○,佐藤慎一,石田直裕,●,,
2024-07-23,10,叡王戦,予選,,,,○,脇謙二,南芳一,●,,
2024-07-23,10,叡王戦,予選,,,,○,阿部隆,脇謙二,●,,
2024-07-23,,棋聖戦,一次予選,,,,○,狩山幹生,安用寺孝功,●,,
2024-07-23,,朝日杯,一次予選,,,,●,高橋佑二郎,石井健太郎,○,,
2024-07-23,,朝日杯,一次予選,,,,○,片上大輔,藤井猛,●,,
2024-07-23,,達人戦,予選,,,,●,真田圭一,島朗,○,,
2024-07-23,,達人戦,予選,,,,○,島朗,高橋道雄,●,,
2024-07-23,,達人戦,予選,,,,○,有森浩三,杉本昌隆,●,,
2024-07-23,,達人戦,予選,,,,●,畠山鎮,平藤眞吾,○,,
2024-07-23,,達人戦,予選,,,,●,平藤眞吾,有森浩三,○,,
2024-07-23,32,銀河戦,本戦トーナメント,G,11,,●,渡辺明,佐々木勇気,○,,2024-10-29
2024-07-24,37,竜王戦,3組 昇決,,,,○,澤田真吾,佐々木大地,●,,
2024-07-24,37,竜王戦,6組 昇決,,,,●,富岡英作,勝又清和,○,,
2024-07-24,37,竜王戦,6組 昇決,,,,●,藤原直哉,大平武洋,○,千日手,
2024-07-24,83,順位戦,A級,,2,,○,佐藤天彦,千田翔太,●,,
2024-07-24,,棋王戦,挑決トーナメント,,,,○,増田康宏,黒田尭之,●,,
2024-07-24,74,王将戦,二次予選,,,,○,高田明浩,稲葉陽,●,,
2024-07-24,,朝日杯,一次予選,,,,○,村田顕弘,井上慶太,●,,
2024-07-24,32,銀河戦,本戦トーナメント,B,11,,○,広瀬章人,中村太地,●,,2024-10-10
2024-07-25,37,竜王戦,決勝トーナメント,,,,●,佐藤康光,佐々木勇気,○,,
2024-07-25,37,竜王戦,5組 昇決,,,,○,千葉幸生,中川大輔,●,,
2024-07-25,37,竜王戦,6組 昇決,,,,●,山本真也,徳田拳士,○,,
2024-07-25,10,叡王戦,予選,,,,○,高野秀行,渡辺正和,●,,
2024-07-25,10,叡王戦,予選,,,,○,高野秀行,渡辺大夢,●,,
2024-07-25,10,叡王戦,予選,,,,○,石川優太,冨田誠也,●,,
2024-07-25,10,叡王戦,予選,,,,○,竹内雄悟,石川優太,●,,
2024-07-25,,朝日杯,一次予選,,,,●,上村亘,塚田泰明,○,,
2024-07-25,,朝日杯,一次予選,,,,●,塚田泰明,梶浦宏孝,○,,
2024-07-25,,朝日杯,一次予選,,,,●,島朗,松本佳介,○,,
2024-07-25,,朝日杯,一次予選,,,,●,松本佳介,行方尚史,○,,
2024-07-25,,朝日杯,一次予選,,,,●,上野裕寿,福崎文吾,○,,
2024-07-25,,朝日杯,一次予選,,,,●,澤田真吾,小林裕士,○,,
2024-07-25,,朝日杯,一次予選,,,,●,福崎文吾,小林裕士,○,,
2024-07-25,,新人戦,,,,,○,川村悠人,藤本渚,●,,
2024-07-26,37,竜王戦,決勝トーナメント,,,,○,広瀬章人,山崎隆之,●,,
2024-07-26,37,竜王戦,6組 昇決,,,,●,田中悠一,山本博志,○,,
2024-07-26,37,竜王戦,6組 昇決,,,,●,宮嶋健太,宮本広志,○,,
2024-07-26,10,叡王戦,予選,,,,●,先崎学,森内俊之,○,,
2024-07-26,10,叡王戦,予選,,,,●,瀬川晶司,本田奎,○,,
2024-07-26,10,叡王戦,予選,,,,○,小倉久史,堀口一史座,●,,
2024-07-26,10,叡王戦,予選,,,,○,阿久津主税,小倉久史,●,,
2024-07-26,,朝日杯,一次予選,,,,●,佐々木慎,小山怜央,○,,
2024-07-26,,朝日杯,一次予選,,,,●,佐藤紳哉,小山直希,○,,
2024-07-26,,達人戦,予選,,,,●,長沼洋,中田功,○,,
2024-07-26,,達人戦,予選,,,,○,木村一基,中田功,●,,
2024-07-26,32,銀河戦,本戦トーナメント,C,11,,●,横山泰明,豊島将之,○,,2024-10-15
2024-07-26,32,銀河戦,本戦トーナメント,H,11,,○,藤井聡太,近藤誠也,●,,2024-10-31
2024-07-27,,JT杯,,,,,○,佐々木大地,羽生善治,●,,
2024-07-29,37,竜王戦,三番勝負,,,1,○,佐々木勇気,広瀬章人,●,,
2024-07-29,37,竜王戦,6組 昇決,,,,●,浦野真彦,増田裕司,○,,
2024-07-29,10,叡王戦,予選,,,,○,片上大輔,所司和晴,●,,
2024-07-29,74,NHK杯,本戦,,2,3,○,近藤誠也,羽生善治,●,,2024-08-25
2024-07-29,74,NHK杯,本戦,,2,4,●,古森悠太,佐藤天彦,○,,2024-09-01
2024-07-30,74,王将戦,二次予選,,,,●,豊島将之,西田拓也,○,,
2024-07-30,37,竜王戦,6組 昇決,,,,●,横山友紀,岡部怜央,○,,
2024-07-30,,王位戦,第3局,,,,○,藤井聡太,渡辺明,●,,
2024-07-31,,朝日杯,一次予選,,,,○,大平武洋,瀬川晶司,●,,
2024-07-31,,朝日杯,一次予選,,,,○,金井恒太,大平武洋,●,,
2024-07-31,,達人戦,予選,,,,○,今泉健司,神崎健二,●,,
2024-07-31,,達人戦,予選,,,,○,山本真也,豊川孝弘,●,,
2024-07-31,,達人戦,予選,,,,○,今泉健司,山本真也,●,,
2024-08-01,83,順位戦,B級1組,,,,●,高見泰地,佐藤康光,○,,
2024-08-01,83,順位戦,B級1組,,,,○,石井健太郎,三浦弘行,●,,
2024-08-01,83,順位戦,B級1組,,,,○,糸谷哲郎,羽生善治,●,,
2024-08-01,83,順位戦,B級1組,,,,●,広瀬章人,大橋貴洸,○,,
2024-08-01,83,順位戦,B級1組,,,,○,斎藤慎太郎,山崎隆之,●,,
2024-08-01,83,順位戦,B級1組,,,,○,大石直嗣,澤田真吾,●,,
2024-08-01,83,順位戦,C級2組,,3,,●,高橋道雄,谷合廣紀,○,,
2024-08-01,83,順位戦,C級2組,,3,,○,村中秀史,星野良生,●,,
2024-08-01,83,順位戦,C級2組,,3,,○,藤森哲也,伊藤真吾,●,,
2024-08-01,83,順位戦,C級2組,,3,,●,井出隼平,黒沢怜生,○,千日手,
2024-08-01,83,順位戦,C級2組,,3,,●,山川泰熙,高野智史,○,,
2024-08-01,83,順位戦,C級2組,,3,,○,杉本和陽,長谷部浩平,●,,
2024-08-01,83,順位戦,C級2組,,3,,●,安用寺孝功,池永天志,○,,
2024-08-01,83,順位戦,C級2組,,3,,○,小山直希,長岡裕也,●,,
2024-08-01,83,順位戦,C級2組,,3,,○,牧野光則,齊藤裕也,●,,
2024-08-01,83,順位戦,C級2組,,3,,○,徳田拳士,高橋佑二郎,●,,
2024-08-01,83,順位戦,C級2組,,3,,●,高野秀行,宮嶋健太,○,,
2024-08-01,83,順位戦,C級2組,,3,,○,井田明宏,遠山雄亮,●,,
2024-08-01,83,順位戦,C級2組,,3,,○,狩山幹生,渡辺大夢,●,,
2024-08-01,83,順位戦,C級2組,,3,,●,折田翔吾,山本博志,○,,
2024-08-01,10,叡王戦,予選,,,,○,増田康宏,飯塚祐紀,●,,
2024-08-01,10,叡王戦,予選,,,,○,増田康宏,野月浩貴,●,,
2024-08-02,10,叡王戦,予選,,,,●,泉正樹,千田翔太,○,,
2024-08-02,10,叡王戦,予選,,,,●,飯島栄治,千田翔太,○,,
2024-08-02,10,叡王戦,予選,,,,●,真田圭一,佐藤秀司,○,,
2024-08-02,10,叡王戦,予選,,,,●,佐藤秀司,松尾歩,○,,
2024-08-02,74,王将戦,二次予選,,3,,●,佐藤天彦,梶浦宏孝,○,,
2024-08-02,74,王将戦,二次予選,,3,,●,三枚堂達也,佐々木勇気,○,,
2024-08-02,,朝日杯,一次予選,,3,,○,藤本渚,西川和宏,●,,
2024-08-02,,朝日杯,一次予選,,,,○,古賀悠聖,藤本渚,●,,
2024-08-02,,新人戦,,,,,○,高田明浩,原司,●,,
2024-08-03,,JT杯,,,,,○,稲葉陽,永瀬拓矢,●,,
2024-08-05,83,順位戦,C級1組,,3,,○,藤本渚,片上大輔,●,,
2024-08-05,,達人戦,予選,,5,,○,藤原直哉,脇謙二,●,,
2024-08-05,,達人戦,予選,,5,,●,福崎文吾,藤原直哉,○,,
2024-08-06,83,順位戦,C級1組,,3,,●,中村修,窪田義行,○,,
2024-08-06,83,順位戦,C級1組,,3,,○,黒田尭之,真田圭一,●,,
2024-08-06,83,順位戦,C級1組,,3,,●,野月浩貴,門倉啓太,○,,
2024-08-06,83,順位戦,C級1組,,3,,○,飯島栄治,佐藤和俊,●,,
2024-08-06,83,順位戦,C級1組,,3,,●,北島忠雄,千葉幸生,○,,
2024-08-06,83,順位戦,C級1組,,3,,○,宮本広志,阿部健治郎,●,,
2024-08-06,83,順位戦,C級1組,,3,,○,斎藤明日斗,都成竜馬,●,,
2024-08-06,83,順位戦,C級1組,,3,,○,村田顕弘,金井恒太,●,,
2024-08-06,83,順位戦,C級1組,,3,,○,井上慶太,古森悠太,●,,
2024-08-06,83,順位戦,C級1組,,3,,○,宮田敦史,阿部隆,●,,
2024-08-06,83,順位戦,C級1組,,3,,○,畠山鎮,船江恒平,●,,
2024-08-06,83,順位戦,C級1組,,3,,○,畠山成幸,西尾明,●,千日手,
2024-08-06,83,順位戦,C級1組,,3,,○,冨田誠也,西田拓也,●,,
2024-08-06,83,順位戦,C級1組,,3,,●,先崎学,出口若武,○,,
2024-08-06,83,順位戦,C級1組,,3,,○,飯塚祐紀,高田明浩,●,,
2024-08-06,83,順位戦,C級1組,,3,,●,三枚堂達也,阪口悟,○,,
2024-08-06,32,銀河戦,決勝トーナメント,,1,1,○,森内俊之,澤田真吾,●,,2024-11-05
2024-08-06,32,銀河戦,決勝トーナメント,,1,2,○,広瀬章人,杉本和陽,●,,2024-11-07
2024-08-07,83,順位戦,B級2組,,3,,○,伊藤匠,屋敷伸之,●,,
2024-08-07,83,順位戦,B級2組,,3,,●,佐々木慎,丸山忠久,○,,
2024-08-07,83,順位戦,B級2組,,3,,○,渡辺和史,郷田真隆,●,,
2024-08-07,83,順位戦,B級2組,,3,,●,松尾歩,藤井猛,○,,
2024-08-07,83,順位戦,B級2組,,3,,●,高崎一生,行方尚史,○,,
2024-08-07,83,順位戦,B級2組,,3,,○,青嶋未来,鈴木大介,●,,
2024-08-07,83,順位戦,B級2組,,3,,●,中川大輔,村山慈明,○,,
2024-08-07,83,順位戦,B級2組,,3,,●,横山泰明,戸辺誠,○,,
2024-08-07,83,順位戦,B級2組,,3,,●,久保利明,古賀悠聖,○,,
2024-08-07,83,順位戦,B級2組,,3,,○,服部慎一郎,木村一基,●,,
2024-08-07,83,順位戦,B級2組,,3,,○,及川拓馬,北浜健介,●,,
2024-08-07,83,順位戦,B級2組,,3,,○,谷川浩司,深浦康市,●,,
2024-08-07,83,順位戦,B級2組,,3,,○,杉本昌隆,阿久津主税,●,,
2024-08-08,83,順位戦,A級,,2,,●,中村太地,増田康宏,○,,
2024-08-08,83,順位戦,C級2組,,3,,●,田村康介,佐藤紳哉,○,,
2024-08-08,83,順位戦,C級2組,,3,,●,阿部光瑠,本田奎,○,,
2024-08-08,83,順位戦,C級2組,,3,,●,佐藤慎一,八代弥,○,,
2024-08-08,83,順位戦,C級2組,,3,,○,梶浦宏孝,上村亘,●,,
2024-08-08,83,順位戦,C級2組,,3,,●,田中悠一,瀬川晶司,○,,
2024-08-08,83,順位戦,C級2組,,3,,●,石田直裕,横山友紀,○,,
2024-08-08,83,順位戦,C級2組,,3,,●,森本才跳,岡部怜央,○,,
2024-08-08,83,順位戦,C級2組,,3,,□,森下卓,中村亮介,■,,
2024-08-08,83,順位戦,C級2組,,3,,●,島朗,今泉健司,○,,
2024-08-08,83,順位戦,C級2組,,3,,○,平藤眞吾,日浦市郎,●,,
2024-08-08,83,順位戦,C級2組,,3,,○,上野裕寿,佐藤秀司,●,,
2024-08-08,83,順位戦,C級2組,,3,,●,小林裕士,西川和宏,○,,
2024-08-08,83,順位戦,C級2組,,3,,○,佐々木大地,石川優太,●,,
2024-08-08,,棋王戦,挑決トーナメント,,,,●,池永天志,三浦弘行,○,,
2024-08-09,83,順位戦,A級,,2,,●,稲葉陽,佐々木勇気,○,,
2024-08-09,74,王将戦,二次予選,,,,○,斎藤慎太郎,渡辺明,●,,
2024-08-09,,棋聖戦,一次予選,,,,○,徳田拳士,船江恒平,●,,
2024-08-09,,棋聖戦,一次予選,,,,○,宮嶋健太,徳田拳士,●,,
2024-08-09,,青流戦,,,,,○,吉池隆真三段,小山怜央,●,,
2024-08-09,,青流戦,,,,,●,吉池隆真三段,古井丈大,○,,
2024-08-09,32,銀河戦,決勝トーナメント,,1,3,●,狩山幹生,藤井聡太,○,,2024-11-12
2024-08-09,32,銀河戦,決勝トーナメント,,2,1,●,広瀬章人,藤井聡太,○,,2024-12-03
2024-08-12,74,NHK杯,本戦,,2,5,●,徳田拳士,中村太地,○,,2024-09-08
2024-08-12,74,NHK杯,本戦,,2,6,○,藤井聡太,西山朋佳,●,,2024-09-15
2024-08-13,37,竜王戦,三番勝負,,,2,●,広瀬章人,佐々木勇気,○,,
2024-08-13,10,叡王戦,予選,,,,●,佐藤康光,鈴木大介,○,,
2024-08-13,,王位戦,予選,,,,○,上野裕寿,加藤桃子,●,,
2024-08-13,,王位戦,予選,,,,●,齊藤裕也,増田裕司,○,,
2024-08-13,,棋王戦,挑決トーナメント,,,,○,澤田真吾,斎藤慎太郎,●,,
2024-08-13,33,銀河戦,予選,,,,●,井出隼平,飯塚祐紀,○,,
2024-08-13,33,銀河戦,予選,,,,○,森下卓,日浦市郎,●,,
2024-08-13,33,銀河戦,予選,,,,●,金井恒太,渡辺大夢,○,,
2024-08-13,33,銀河戦,予選,,,,●,村中秀史,片上大輔,○,,
2024-08-13,33,銀河戦,予選,,,,○,高野秀行,大平武洋,●,,
2024-08-13,33,銀河戦,予選,,,,●,高野秀行,渡辺和史,○,,
2024-08-13,33,銀河戦,予選,,,,●,上村亘,田村康介,○,,
2024-08-13,33,銀河戦,予選,,,,○,門倉啓太,田村康介,●,,
2024-08-13,33,銀河戦,予選,,,,●,安用寺孝功,井上慶太,○,,
2024-08-13,33,銀河戦,予選,,,,○,牧野光則,畠山鎮,●,,
2024-08-13,33,銀河戦,予選,,,,○,南芳一,浦野真彦,●,,
2024-08-13,33,銀河戦,予選,,,,○,高田明浩,南芳一,●,,
2024-08-14,,王位戦,予選,,,,○,斎藤明日斗,三浦弘行,●,,
2024-08-14,,王位戦,予選,,,,●,豊川孝弘,神崎健二,○,,
2024-08-14,,王位戦,予選,,,,●,服部慎一郎,都成竜馬,○,,
2024-08-14,,朝日杯,一次予選,,,,●,田中悠一,杉本和陽,○,,
2024-08-14,,朝日杯,一次予選,,,,○,杉本和陽,横山泰明,●,,
2024-08-14,33,銀河戦,予選,,,,○,近藤正和,富岡英作,●,,
2024-08-14,33,銀河戦,予選,,,,●,近藤正和,佐々木慎,○,,
2024-08-14,33,銀河戦,予選,,,,●,所司和晴,瀬川晶司,○,,
2024-08-14,33,銀河戦,予選,,,,○,窪田義行,瀬川晶司,●,,
2024-08-14,33,銀河戦,予選,,,,○,深浦康市,黒沢怜生,●,,
2024-08-14,33,銀河戦,予選,,,,○,神谷広志,渡辺正和,●,,
2024-08-14,33,銀河戦,予選,,,,●,神谷広志,野月浩貴,○,,
2024-08-14,33,銀河戦,予選,,,,●,高橋佑二郎,長谷部浩平,○,,
2024-08-14,33,銀河戦,予選,,,,○,長谷部浩平,屋敷伸之,●,,
2024-08-14,33,銀河戦,予選,,,,●,中村修,高野智史,○,,
2024-08-14,33,銀河戦,予選,,,,●,真田圭一,佐藤慎一,○,,
2024-08-14,33,銀河戦,予選,,,,○,佐々木大地,阿部健治郎,●,,
2024-08-14,33,銀河戦,予選,,,,○,八代弥,三枚堂達也,●,,
2024-08-14,33,銀河戦,予選,,,,●,谷川浩司,長岡裕也,○,,
2024-08-14,33,銀河戦,予選,,,,○,冨田誠也,石川優太,●,千日手,
2024-08-14,33,銀河戦,予選,,,,●,藤原直哉,矢倉規広,○,,
2024-08-14,33,銀河戦,予選,,,,●,矢倉規広,藤本渚,○,,
2024-08-14,33,銀河戦,予選,,,,○,阪口悟,齊藤裕也,●,,
2024-08-14,33,銀河戦,予選,,,,●,古森悠太,横山友紀,○,,
2024-08-14,33,銀河戦,予選,,,,○,山本真也,福崎文吾,●,,
2024-08-14,33,銀河戦,予選,,,,○,阿部隆,山本真也,●,,
2024-08-15,37,竜王戦,2組 昇決,,,,○,佐藤天彦,糸谷哲郎,●,,
2024-08-15,37,竜王戦,4組 残決,,,,○,杉本昌隆,遠山雄亮,●,,
2024-08-15,83,順位戦,A級,,2,,●,豊島将之,渡辺明,○,,
2024-08-15,,朝日杯,一次予選,,,,○,広瀬章人,山本博志,●,,
2024-08-15,,朝日杯,一次予選,,,,●,大橋貴洸,村山慈明,○,,
2024-08-15,,朝日杯,一次予選,,,,○,今泉健司,竹下貴重,●,,
2024-08-15,,朝日杯,一次予選,,,,●,今泉健司,村山慈明,○,,
2024-08-15,33,銀河戦,予選,,,,○,山川泰熙,勝又清和,●,,
2024-08-15,33,銀河戦,予選,,,,●,高橋道雄,山川泰熙,○,,
2024-08-15,33,銀河戦,予選,,,,○,小倉久史,島朗,●,,
2024-08-15,33,銀河戦,予選,,,,○,松尾歩,小倉久史,●,,
2024-08-15,33,銀河戦,予選,,,,●,松本佳介,堀口一史座,○,,
2024-08-15,33,銀河戦,予選,,,,●,堀口一史座,高崎一生,○,,
2024-08-15,33,銀河戦,予選,,,,●,泉正樹,藤森哲也,○,,
2024-08-15,33,銀河戦,予選,,,,○,藤森哲也,北島忠雄,●,,
2024-08-15,33,銀河戦,予選,,,,●,小山直希,及川拓馬,○,,
2024-08-15,33,銀河戦,予選,,,,●,伊藤真吾,木村一基,○,,
2024-08-15,33,銀河戦,予選,,,,○,阿部光瑠,木下浩一,●,,
2024-08-15,33,銀河戦,予選,,,,○,阿部光瑠,千葉幸生,●,,
2024-08-15,33,銀河戦,予選,,,,●,飯島栄治,佐藤紳哉,○,,
2024-08-15,33,銀河戦,予選,,,,○,中川大輔,谷合廣紀,●,,
2024-08-15,33,銀河戦,予選,,,,○,井田明宏,宮本広志,●,,
2024-08-15,33,銀河戦,予選,,,,○,村田顕弘,西川和宏,●,,
2024-08-15,32,銀河戦,決勝トーナメント,,1,4,●,森本才跳,阿久津主税,○,,2024-11-14
2024-08-15,32,銀河戦,決勝トーナメント,,1,5,●,西尾明,丸山忠久,○,,2024-11-19
2024-08-15,32,銀河戦,決勝トーナメント,,2,2,●,阿久津主税,丸山忠久,○,,2024-12-05
2024-08-16,37,竜王戦,6組 昇決,,,,○,徳田拳士,西田拓也,●,,
2024-08-16,33,銀河戦,予選,,,,●,豊川孝弘,上野裕寿,○,,
2024-08-16,33,銀河戦,予選,,,,●,上野裕寿,出口若武,○,,
2024-08-16,32,銀河戦,決勝トーナメント,,1,6,●,小林裕士,佐々木勇気,○,,2024-11-21
2024-08-16,32,銀河戦,決勝トーナメント,,1,7,●,郷田真隆,梶浦宏孝,○,,2024-11-26
2024-08-16,32,銀河戦,決勝トーナメント,,2,3,●,梶浦宏孝,佐々木勇気,○,,2024-12-10
2024-08-19,,王位戦,予選,,,,○,佐藤紳哉,村中秀史,●,,
2024-08-19,,王位戦,予選,,,,●,勝又清和,松本佳介,○,,
2024-08-19,,王位戦,予選,,,,○,泉正樹,谷合廣紀,●,,
2024-08-19,,王位戦,予選,,,,●,折田翔吾,牧野光則,○,,
2024-08-19,,達人戦,予選,,,,○,佐藤秀司,所司和晴,●,,
2024-08-19,,達人戦,予選,,,,●,藤井猛,佐藤秀司,○,,
2024-08-19,,王位戦,第4局,,,,●,渡辺明,藤井聡太,○,,
2024-08-19,33,銀河戦,予選,,,,●,長沼洋,柵木幹太,○,,
2024-08-19,33,銀河戦,予選,,,,○,柵木幹太,久保利明,●,,
2024-08-20,,王位戦,予選,,,,○,永瀬拓矢,野月浩貴,●,,
2024-08-20,,王位戦,予選,,,,○,本田奎,森下卓,●,,
2024-08-20,,王位戦,予選,,,,○,杉本和陽,塚田泰明,●,,
