対局日,棋戦,備考,先手の勝敗,先手,後手,後手の勝敗,千日手,放送日
2025-07-18,女流王座戦,本戦,○,松下舞琳,村田智穂,●,,
2025-07-18,女流名人戦,女流名人リーグ,●,大島綾華,中井広恵,○,,
2025-07-22,女流王座戦,本戦,○,西山朋佳,磯谷祐維,●,,
2025-07-23,清麗戦,第2局,○,福間香奈,渡部愛,●,,
2025-07-23,女流名人戦,女流名人リーグ,○,内山あや,野原未蘭,●,,
2025-07-23,女流王座戦,本戦,○,伊藤沙恵,室谷由紀,●,,
2025-07-23,女流王座戦,本戦,●,和田あき,中七海,○,,
2025-07-24,女流王座戦,本戦,●,中澤沙耶,加藤桃子,○,,
2025-07-25,女流名人戦,女流名人リーグ,○,宮澤紗希,今井絢,●,,
2025-07-29,女流名人戦,女流名人リーグ,●,伊藤沙恵,石本さくら,○,,
2025-07-29,倉敷藤花戦,,○,香川愛生,上田初美,●,,
2025-07-30,女流王座戦,本戦,○,西山朋佳,山根ことみ,●,,
2025-08-01,女流王座戦,本戦,●,松下舞琳,加藤桃子,○,,
2025-08-04,女流名人戦,女流名人リーグ,●,西山朋佳,内山あや,○,,
2025-08-04,倉敷藤花戦,,●,大城千花アマ,加藤桃子,○,,
2025-08-05,女流王座戦,本戦,●,伊藤沙恵,中七海,○,,
2025-08-06,女流名人戦,女流名人リーグ,○,宮澤紗希,野原未蘭,●,,
2025-08-07,清麗戦,第3局,●,渡部愛,福間香奈,○,,
2025-08-07,倉敷藤花戦,,○,中澤沙耶,和田あき,●,,
2025-08-08,女流名人戦,女流名人リーグ,○,中井広恵,今井絢,●,,
2025-08-12,女流名人戦,女流名人リーグ,●,渡部愛,伊藤沙恵,○,,
2025-08-15,女流王座戦,本戦,○,塚田恵梨花,渡部愛,●,,
2025-08-18,女流王座戦,本戦,●,加藤桃子,西山朋佳,○,,
2025-08-19,マイナビ,本戦,●,武富礼衣,宮澤紗希,○,,
2025-08-20,マイナビ,本戦,○,伊藤沙恵,磯谷祐維,●,,
2025-08-21,マイナビ,本戦,●,脇田菜々子,野原未蘭,○,,
2025-08-22,マイナビ,本戦,○,西山朋佳,貞升南,●,,
2025-08-22,女流名人戦,女流名人リーグ,●,大島綾華,石本さくら,○,,
2025-08-22,女流王位戦,予選,○,中七海,崎原知宙,●,,
2025-08-24,倉敷藤花戦,,●,田中沙紀,伊藤沙恵,○,,
2025-08-25,女流王位戦,予選,●,砂原奏,磯谷祐維,○,,
2025-08-25,女流王位戦,予選,○,頼本奈菜,竹内優月,●,,
2025-08-26,女流王位戦,予選,●,長谷川優貴,松下舞琳,○,,
2025-08-26,女流王位戦,予選,○,佐々木海法,岩佐美帆子,●,,
2025-08-27,マイナビ,本戦,●,内山あや,加藤結李愛,○,,
2025-08-27,女流王座戦,本戦,●,塚田恵梨花,中七海,○,,
2025-08-27,女流王位戦,予選,●,貞升南,香川愛生,○,,
2025-08-27,女流王位戦,予選,○,鎌田美礼,相川春香,●,,
2025-08-27,倉敷藤花戦,,●,中澤沙耶,加藤桃子,○,,
2025-08-28,女流王位戦,予選,○,岩崎夏子,石高澄恵,●,,
2025-08-28,女流王位戦,予選,●,八木日和,伊奈川愛菓,○,,
2025-08-28,女流王位戦,予選,○,礒谷真帆,室谷由紀,●,,
2025-08-28,女流王位戦,予選,○,川又咲紀,山口仁子梨,●,,
2025-08-28,女流王位戦,予選,●,石本さくら,木村朱里,○,,
2025-08-29,女流王位戦,予選,●,榊菜吟,森本理子,○,,
2025-08-29,女流王位戦,予選,○,北村桂香,久保翔子,●,,
2025-08-30,白玲戦,第1局,○,西山朋佳,福間香奈,●,,
2025-09-01,女流王位戦,予選,○,竹部さゆり,飯野愛,●,,
2025-09-01,女流王位戦,予選,●,宮澤紗希,加藤結李愛,○,,
2025-09-02,マイナビ,本戦,○,加藤桃子,今井絢,●,,
2025-09-02,女流王位戦,予選,○,宮宗紫野,島井咲緒里,●,,
2025-09-02,女流王位戦,予選,●,岩根忍,伊藤真央,○,,
2025-09-02,女流王位戦,予選,○,塚田恵梨花,武富礼衣,●,,
2025-09-02,倉敷藤花戦,,●,香川愛生,伊藤沙恵,○,,
2025-09-03,女流王位戦,予選,○,礒谷真帆,中井広恵,●,,
2025-09-03,女流王位戦,予選,●,長沢千和子,藤田綾,○,,
2025-09-03,女流王位戦,予選,●,小高佐季子,磯谷祐維,○,,
2025-09-03,女流王位戦,予選,●,高浜愛子,脇田菜々子,○,,
2025-09-03,女流王位戦,予選,●,藤井奈々,中七海,○,,
2025-09-04,女流王位戦,予選,●,鎌田美礼,上田初美,○,,
2025-09-04,女流王位戦,予選,●,梅津美琴,矢内理絵子,○,,
2025-09-04,女流王位戦,予選,●,村田智穂,木村朱里,○,,
2025-09-04,女流王位戦,予選,○,松下舞琳,山口稀良莉,●,,
2025-09-05,女流王位戦,予選,●,千葉涼子,頼本奈菜,○,,
2025-09-06,白玲戦,第2局,○,福間香奈,西山朋佳,●,,
2025-09-08,マイナビ,本戦,●,香川愛生,大島綾華,○,,
2025-09-08,女流王位戦,予選,○,岩崎夏子,中倉宏美,●,,
2025-09-09,女流王位戦,予選,○,竹部さゆり,加藤圭,●,,
2025-09-09,女流王位戦,予選,○,宮宗紫野,清水市代,●,,
2025-09-09,女流王位戦,予選,○,中澤沙耶,森本理子,●,,
2025-09-09,女流王位戦,予選,○,佐々木海法,室田伊緒,●,,
2025-09-10,女流王位戦,予選,○,伊奈川愛菓,野原未蘭,●,,
2025-09-10,女流王位戦,予選,●,田中沙紀,本田小百合,○,,
2025-09-10,女流王位戦,予選,●,和田あき,堀彩乃,○,,
2025-09-10,女流王位戦,予選,●,北村桂香,今井絢,○,,
2025-09-11,女流王位戦,予選,●,脇田菜々子,渡辺弥生,○,,
2025-09-11,女流王位戦,予選,●,伊藤真央,鈴木環那,○,,
2025-09-11,女流王位戦,予選,●,川又咲紀,内山あや,○,,
2025-09-12,女流王座戦,挑決,●,中七海,西山朋佳,○,,
2025-09-12,女流王位戦,予選・反則,○,山田久美,加藤結李愛,●,,
2025-09-16,女流名人戦,女流名人リーグ,●,伊藤沙恵,西山朋佳,○,,
2025-09-16,女流名人戦,女流名人リーグ,●,石本さくら,宮澤紗希,○,,
2025-09-16,女流王位戦,予選,●,香川愛生,山口恵梨子,○,,
2025-09-17,女流王位戦,予選,●,和田はな,塚田恵梨花,○,,
2025-09-18,女流名人戦,女流名人リーグ,○,今井絢,大島綾華,●,,
2025-09-18,女流王位戦,予選,○,中七海,松下舞琳,●,,
2025-09-19,女流王位戦,予選,●,上川香織,堀彩乃,○,,
2025-09-19,女流王位戦,予選,○,鈴木環那,頼本奈菜,●,,
2025-09-20,白玲戦,第3局,●,西山朋佳,福間香奈,○,,
2025-09-22,女流名人戦,女流名人リーグ,○,内山あや,渡部愛,●,,
2025-09-24,清麗戦,予選,●,渡辺弥生,島井咲緒里,○,,
2025-09-24,清麗戦,予選,●,武富礼衣,小高佐季子,○,,
2025-09-24,女流王位戦,予選,○,堀彩乃,礒谷真帆,●,,
2025-09-24,女流王位戦,予選,●,山田久美,磯谷祐維,○,,
2025-09-24,女流王位戦,予選,○,本田小百合,竹部さゆり,●,,
2025-09-24,女流王位戦,予選,●,宮宗紫野,山口恵梨子,○,,
2025-09-24,倉敷藤花戦,挑決,○,伊藤沙恵,加藤桃子,●,,
2025-09-25,清麗戦,予選,○,野原未蘭,八木日和,●,,
2025-09-25,女流王位戦,予選,●,今井絢,佐々木海法,○,,
2025-09-26,清麗戦,予選,○,山口仁子梨,中七海,●,,
2025-09-26,女流王位戦,予選,●,伊奈川愛菓,上田初美,○,,
2025-09-26,女流王位戦,予選,●,内山あや,藤田綾,○,,
2025-09-26,女流王位戦,予選,■,矢内理絵子,塚田恵梨花,□,,
2025-09-26,女流王位戦,予選,●,中澤沙耶,木村朱里,○,,
2025-09-27,白玲戦,第4局,●,福間香奈,西山朋佳,○,,
2025-09-29,女流名人戦,女流名人リーグ,○,野原未蘭,中井広恵,●,,
2025-09-29,女流王位戦,予選,●,渡辺弥生,岩崎夏子,○,,
2025-09-30,清麗戦,予選・反則,●,大島綾華,鎌田美礼,○,,
2025-09-30,清麗戦,予選,○,久保翔子,竹部さゆり,●,,
2025-10-01,清麗戦,予選,●,堀彩乃,中倉宏美,○,,
2025-10-01,女流名人戦,女流名人リーグ,○,宮澤紗希,伊藤沙恵,●,,
2025-10-01,女流王位戦,予選,●,藤田綾,中七海,○,,
2025-10-02,清麗戦,予選,○,和田はな,山口恵梨子,●,,
2025-10-02,清麗戦,予選,●,高浜愛子,中井広恵,○,,
2025-10-02,女流名人戦,女流名人リーグ,●,渡部愛,石本さくら,○,,
2025-10-02,女流王位戦,予選,●,塚田恵梨花,上田初美,○,,
2025-10-03,清麗戦,予選,○,和田あき,森本理子,●,,
2025-10-03,清麗戦,予選,●,伊藤真央,頼本奈菜,○,,
2025-10-03,女流王位戦,予選,●,佐々木海法,木村朱里,○,,
2025-10-06,清麗戦,予選,●,宮宗紫野,矢内理絵子,○,,
2025-10-07,女流名人戦,女流名人リーグ,●,今井絢,西山朋佳,○,,
2025-10-08,清麗戦,予選,○,榊菜吟,上川香織,●,,
2025-10-08,女流王位戦,予選,○,岩崎夏子,本田小百合,●,,
2025-10-09,女流順位戦,C級,●,久保翔子,岩根忍,○,,
2025-10-09,女流順位戦,C級,○,頼本奈菜,武富礼衣,●,,
2025-10-09,女流順位戦,C級,○,山口恵梨子,大島綾華,●,,
2025-10-09,女流順位戦,C級,○,佐々木海法,磯谷祐維,●,,
2025-10-09,女流順位戦,C級,●,藤田綾,内山あや,○,,
2025-10-09,女流順位戦,C級,○,中澤沙耶,室谷由紀,●,,
2025-10-09,女流順位戦,C級,○,堀彩乃,田中沙紀,●,,
2025-10-09,女流順位戦,C級,●,室田伊緒,木村朱里,○,,
2025-10-09,女流順位戦,C級,○,長谷川優貴,松下舞琳,●,,
2025-10-09,女流順位戦,C級,○,北村桂香,川又咲紀,●,,
2025-10-09,清麗戦,予選,●,中井広恵,山根ことみ,○,,
2025-10-10,清麗戦,予選,●,清水市代,長沢千和子,○,,
2025-10-10,清麗戦,予選,●,石高澄恵,礒谷真帆,○,,
2025-10-10,清麗戦,予選,●,竹内優月,相川春香,○,,
2025-10-10,清麗戦,予選,●,山口稀良莉,村田智穂,○,,
2025-10-11,白玲戦,第5局,○,西山朋佳,福間香奈,●,,
2025-10-14,清麗戦,予選,●,加藤圭,今井絢,○,,
2025-10-14,清麗戦,予選,○,伊奈川愛菓,岩根忍,●,,
2025-10-14,清麗戦,予選,●,石本さくら,宮澤紗希,○,,
2025-10-14,女流王位戦,予選,●,堀彩乃,磯谷祐維,○,,
2025-10-15,清麗戦,予選,○,加藤結李愛,岩崎夏子,●,,
2025-10-15,清麗戦,予選,○,本田小百合,砂原奏,●,,
2025-10-15,清麗戦,予選,●,飯野愛,室谷由紀,○,,
2025-10-15,清麗戦,予選,○,北村桂香,千葉涼子,●,,
2025-10-16,清麗戦,予選,●,長谷川優貴,伊藤沙恵,○,,
2025-10-16,女流名人戦,女流名人リーグ,●,大島綾華,野原未蘭,○,,
2025-10-16,女流名人戦,女流名人リーグ,○,中井広恵,内山あや,●,,
2025-10-16,女流王位戦,予選,○,山口恵梨子,鈴木環那,●,,
2025-10-17,清麗戦,予選,○,上田初美,矢内理絵子,●,,
2025-10-18,白玲戦,第6局,●,福間香奈,西山朋佳,○,,
2025-10-20,女流順位戦,D級,○,渡辺弥生,長沢千和子,●,,
2025-10-20,女流順位戦,D級,○,本田小百合,山田久美,●,,
2025-10-20,女流順位戦,D級,○,岩崎夏子,貞升南,●,,
2025-10-20,女流順位戦,D級,●,矢内理絵子,宮宗紫野,○,,
2025-10-20,女流順位戦,D級,●,礒谷真帆,伊藤真央,○,,
2025-10-20,女流順位戦,D級,●,和田はな,宮澤紗希,○,,
2025-10-20,女流順位戦,D級,○,上川香織,鎌田美礼,●,,
2025-10-20,女流順位戦,D級,○,森本理子,相川春香,●,,
2025-10-20,女流順位戦,D級,○,竹内優月,藤井奈々,●,,
2025-10-20,女流順位戦,D級,○,竹部さゆり,脇田菜々子,●,,
2025-10-20,女流順位戦,D級,○,村田智穂,中倉宏美,●,,
2025-10-20,女流順位戦,D級,●,島井咲緒里,山口仁子梨,○,,
2025-10-20,女流順位戦,D級,●,飯野愛,八木日和,○,,
2025-10-20,女流順位戦,D級,○,山口稀良莉,石高澄恵,●,,
2025-10-20,女流順位戦,D級,●,高浜愛子,中七海,○,,
2025-10-20,女流順位戦,D級,●,梅津美琴,今井絢,○,,
2025-10-20,女流順位戦,D級,●,砂原奏,岩佐美帆子,○,,
2025-10-20,女流順位戦,D級,●,崎原知宙,榊菜吟,○,,
2025-10-21,清麗戦,予選,●,頼本奈菜,塚田恵梨花,○,,
2025-10-21,清麗戦,予選,○,渡部愛,長沢千和子,●,,
2025-10-21,女流名人戦,女流名人リーグ,○,石本さくら,野原未蘭,●,,
2025-10-22,女流王座戦,第1局,○,福間香奈,西山朋佳,●,,
2025-10-22,清麗戦,予選,●,野原未蘭,加藤桃子,○,,
2025-10-23,清麗戦,予選,●,鈴木環那,和田はな,○,,
2025-10-23,清麗戦,予選,●,田中沙紀,木村朱里,○,,
2025-10-23,女流名人戦,女流名人リーグ,○,伊藤沙恵,大島綾華,●,,
2025-10-24,女流名人戦,女流名人リーグ,○,宮澤紗希,内山あや,●,,
2025-10-28,清麗戦,予選,●,山口仁子梨,脇田菜々子,○,,
2025-10-28,清麗戦,予選,●,島井咲緒里,磯谷祐維,○,,
2025-10-28,清麗戦,予選,○,小高佐季子,香川愛生,●,,
2025-10-28,清麗戦,予選,○,長谷川優貴,清水市代,●,,
2025-10-28,清麗戦,予選,○,川又咲紀,佐々木海法,●,,
2025-10-29,清麗戦,予選,●,崎原知宙,室田伊緒,○,,
2025-10-30,清麗戦,予選,●,伊藤真央,大島綾華,○,,
2025-10-30,清麗戦,予選,○,藤田綾,山田久美,●,,
2025-10-30,清麗戦,予選,●,梅津美琴,内山あや,○,,
2025-10-31,女流順位戦,A級,○,山根ことみ,鈴木環那,●,,
2025-10-31,女流順位戦,A級,○,伊藤沙恵,渡部愛,●,,
2025-10-31,女流順位戦,A級,○,上田初美,加藤圭,●,,
2025-10-31,女流順位戦,A級,●,野原未蘭,福間香奈,○,,
2025-10-31,女流順位戦,A級,●,加藤桃子,石本さくら,○,,
2025-10-31,女流順位戦,B級,○,中井広恵,小高佐季子,●,,
2025-10-31,女流順位戦,B級,○,香川愛生,塚田恵梨花,●,,
2025-10-31,女流順位戦,B級,○,和田あき,加藤結李愛,●,,
2025-10-31,清麗戦,予選,●,貞升南,室谷由紀,○,,
2025-10-31,清麗戦,予選,●,藤井奈々,松下舞琳,○,,
2025-11-05,倉敷藤花戦,第1局,○,福間香奈,伊藤沙恵,●,,
2025-11-05,女流順位戦,B級,○,中村真梨花,伊奈川愛菓,●,,
2025-11-05,清麗戦,予選,●,竹内優月,中七海,○,,
2025-11-05,マイナビ,本戦,○,加藤桃子,宮澤紗希,●,,
2025-11-06,女流名人戦,女流名人リーグ,○,西山朋佳,中井広恵,●,,
2025-11-06,女流名人戦,女流名人リーグ,○,渡部愛,今井絢,●,,
2025-11-07,女流順位戦,C級,●,岩根忍,山口恵梨子,○,,
2025-11-07,女流順位戦,C級,○,松下舞琳,頼本奈菜,●,,
2025-11-07,女流順位戦,C級,○,室谷由紀,藤田綾,●,,
2025-11-07,女流順位戦,C級,●,田中沙紀,中澤沙耶,○,,
2025-11-07,女流順位戦,C級,○,磯谷祐維,堀彩乃,●,,
2025-11-07,女流順位戦,C級,○,大島綾華,室田伊緒,●,,
2025-11-07,女流順位戦,C級,○,川又咲紀,長谷川優貴,●,,
2025-11-07,女流順位戦,C級,○,木村朱里,北村桂香,●,,
2025-11-07,女流順位戦,C級,○,武富礼衣,佐々木海法,●,,
2025-11-07,女流順位戦,C級,○,内山あや,久保翔子,●,,
2025-11-07,清麗戦,予選,●,相川春香,上田初美,○,,
2025-11-07,清麗戦,予選,●,山根ことみ,礒谷真帆,○,,
2025-11-10,女流順位戦,D級,○,中七海,本田小百合,●,,
2025-11-10,女流順位戦,D級,●,貞升南,竹内優月,○,,
2025-11-10,女流順位戦,D級,○,伊藤真央,高浜愛子,●,,
2025-11-10,女流順位戦,D級,●,中倉宏美,矢内理絵子,○,,
2025-11-10,女流順位戦,D級,●,相川春香,礒谷真帆,○,,
2025-11-10,女流順位戦,D級,○,宮澤紗希,梅津美琴,●,,
2025-11-10,女流順位戦,D級,●,山田久美,岩崎夏子,○,,
2025-11-10,女流順位戦,D級,○,宮宗紫野,竹部さゆり,●,,
2025-11-10,女流順位戦,D級,○,脇田菜々子,島井咲緒里,●,,
2025-11-10,女流順位戦,D級,○,榊菜吟,和田はな,●,,
2025-11-10,女流順位戦,D級,○,石高澄恵,上川香織,●,,
2025-11-10,女流順位戦,D級,●,長沢千和子,崎原知宙,○,,
2025-11-10,女流順位戦,D級,●,鎌田美礼,村田智穂,○,,
2025-11-10,女流順位戦,D級,●,八木日和,渡辺弥生,○,,
2025-11-10,女流順位戦,D級,○,藤井奈々,飯野愛,●,,
2025-11-10,女流順位戦,D級,●,岩佐美帆子,山口稀良莉,○,,
2025-11-10,女流順位戦,D級,○,今井絢,砂原奏,●,,
2025-11-10,女流順位戦,D級,●,山口仁子梨,森本理子,○,,
2025-11-11,女流順位戦,B級,●,清水市代,千葉涼子,○,,
2025-11-11,マイナビ,本戦,□,上田初美,中村真梨花,■,,
2025-11-12,女流王座戦,第2局,●,西山朋佳,福間香奈,○,,
2025-11-12,清麗戦,予選,○,岩佐美帆子,中澤沙耶,●,,
2025-11-12,マイナビ,本戦,○,伊藤沙恵,上田初美,●,,
2025-11-12,女流王位戦,挑決リーグ,●,加藤桃子,大島綾華,○,,
2025-11-13,清麗戦,予選,●,北村桂香,塚田恵梨花,○,,
2025-11-13,女流王位戦,予選,○,磯谷祐維,山口恵梨子,●,,
2025-11-14,清麗戦,予選,○,西山朋佳,久保翔子,●,,
2025-11-15,倉敷藤花戦,第2局,○,伊藤沙恵,福間香奈,●,,
2025-11-16,倉敷藤花戦,第3局,○,福間香奈,伊藤沙恵,●,,
2025-11-17,マイナビ,本戦,●,野原未蘭,加藤結李愛,○,,
2025-11-17,女流王位戦,挑決リーグ,●,岩崎夏子,渡部愛,○,,
2025-11-18,清麗戦,予選,○,伊奈川愛菓,和田はな,●,,
2025-11-18,清麗戦,予選,○,加藤桃子,藤田綾,●,,
2025-11-18,清麗戦,予選,●,村田智穂,鎌田美礼,○,,
2025-11-18,女流王位戦,挑決リーグ,○,上田初美,木村朱里,●,,
2025-11-19,女流王座戦,第3局,○,福間香奈,西山朋佳,●,,
2025-11-19,清麗戦,予選,●,石高澄恵,山口恵梨子,○,,
2025-11-19,清麗戦,予選,●,渡辺弥生,千葉涼子,○,,
2025-11-19,清麗戦,予選,○,加藤圭,貞升南,●,,
2025-11-21,清麗戦,予選,●,矢内理絵子,中七海,○,,
2025-11-21,清麗戦,予選,○,宮宗紫野,山田久美,●,,
2025-11-21,清麗戦,予選,●,梅津美琴,森本理子,○,,
2025-11-21,清麗戦,予選,●,武富礼衣,佐々木海法,○,,
2025-11-21,清麗戦,予選,●,田中沙紀,八木日和,○,,
2025-11-21,清麗戦,予選,●,高浜愛子,堀彩乃,○,,
2025-11-21,清麗戦,予選,●,藤井奈々,砂原奏,○,,
2025-11-21,清麗戦,予選,○,磯谷祐維,川又咲紀,●,,
2025-11-21,女流名人戦,女流名人リーグ,○,中井広恵,渡部愛,●,,
2025-11-21,女流名人戦,女流名人リーグ,○,大島綾華,宮澤紗希,●,,
2025-11-21,女流名人戦,女流名人リーグ,●,野原未蘭,西山朋佳,○,,
2025-11-21,女流名人戦,女流名人リーグ,●,内山あや,伊藤沙恵,○,,
2025-11-21,女流名人戦,女流名人リーグ,○,今井絢,石本さくら,●,,
2025-11-25,清麗戦,予選,●,長谷川優貴,香川愛生,○,,
2025-11-26,清麗戦,予選,●,上川香織,崎原知宙,○,,
2025-11-26,清麗戦,予選,●,飯野愛,岩根忍,○,,
2025-11-26,清麗戦,予選,○,脇田菜々子,中倉宏美,●,,
2025-11-27,清麗戦,予選,○,松下舞琳,本田小百合,●,,
2025-11-27,清麗戦,予選,●,室谷由紀,今井絢,○,,
2025-11-27,清麗戦,予選,●,中澤沙耶,竹部さゆり,○,,
2025-11-28,女流順位戦,A級,●,加藤圭,野原未蘭,○,,
2025-11-28,女流順位戦,A級,●,渡部愛,上田初美,○,,
2025-11-28,女流順位戦,A級,●,鈴木環那,伊藤沙恵,○,,
2025-11-28,女流順位戦,A級,○,福間香奈,加藤桃子,●,,
2025-11-28,女流順位戦,A級,○,石本さくら,山根ことみ,●,,
2025-11-28,女流順位戦,B級,○,小高佐季子,香川愛生,●,,
2025-11-28,女流順位戦,B級,○,伊奈川愛菓,清水市代,●,,
2025-11-28,女流順位戦,B級,○,塚田恵梨花,和田あき,●,,
2025-11-28,女流順位戦,B級,○,加藤結李愛,中井広恵,●,,
2025-11-28,女流順位戦,B級,●,千葉涼子,中村真梨花,○,,
2025-11-28,清麗戦,予選,●,室田伊緒,榊菜吟,○,,
2025-11-28,マイナビ,本戦,●,大島綾華,西山朋佳,○,,
2025-12-03,女流順位戦,D級,○,本田小百合,岩崎夏子,●,,
2025-12-03,女流順位戦,D級,○,礒谷真帆,貞升南,●,,
2025-12-03,女流順位戦,D級,●,山田久美,高浜愛子,○,,
2025-12-03,女流順位戦,D級,○,矢内理絵子,森本理子,●,,
2025-12-03,女流順位戦,D級,●,山口仁子梨,宮澤紗希,○,,
2025-12-03,女流順位戦,D級,○,梅津美琴,伊藤真央,●,,
2025-12-03,女流順位戦,D級,○,島井咲緒里,鎌田美礼,●,,
2025-12-03,女流順位戦,D級,○,砂原奏,相川春香,●,,
2025-12-03,女流順位戦,D級,○,渡辺弥生,飯野愛,●,,
2025-12-03,女流順位戦,D級,●,竹部さゆり,和田はな,○,,
2025-12-03,女流順位戦,D級,○,中倉宏美,榊菜吟,●,,
2025-12-03,女流順位戦,D級,●,竹内優月,崎原知宙,○,,
2025-12-03,女流順位戦,D級,●,石高澄恵,岩佐美帆子,○,,
2025-12-03,女流順位戦,D級,○,八木日和,長沢千和子,●,,
2025-12-03,女流順位戦,D級,●,藤井奈々,中七海,○,,
2025-12-03,女流順位戦,D級,○,今井絢,上川香織,●,,
2025-12-03,女流順位戦,D級,●,村田智穂,宮宗紫野,○,,
2025-12-03,女流順位戦,D級,○,山口稀良莉,脇田菜々子,●,,
2025-12-04,女流順位戦,C級,○,室谷由紀,大島綾華,●,,
2025-12-04,女流順位戦,C級,○,中澤沙耶,頼本奈菜,●,,
2025-12-04,女流順位戦,C級,○,堀彩乃,藤田綾,●,,
2025-12-04,女流順位戦,C級,●,山口恵梨子,磯谷祐維,○,,
2025-12-04,女流順位戦,C級,○,北村桂香,岩根忍,●,,
2025-12-04,女流順位戦,C級,○,室田伊緒,内山あや,●,,
2025-12-04,女流順位戦,C級,●,長谷川優貴,武富礼衣,○,,
2025-12-04,女流順位戦,C級,●,川又咲紀,田中沙紀,○,,
2025-12-04,女流順位戦,C級,●,佐々木海法,松下舞琳,○,,
2025-12-04,女流順位戦,C級,○,久保翔子,木村朱里,●,,
2025-12-04,清麗戦,予選,●,小高佐季子,伊藤沙恵,○,,
2025-12-05,女流王位戦,挑決リーグ,○,西山朋佳,山根ことみ,●,,
2025-12-08,清麗戦,予選,○,岩佐美帆子,渡部愛,●,,
2025-12-08,清麗戦,予選,○,宮澤紗希,加藤結李愛,●,,
2025-12-08,清麗戦,予選,○,山根ことみ,村田智穂,●,,
2025-12-09,清麗戦,予選,○,礒谷真帆,鎌田美礼,●,,
2025-12-10,清麗戦,予選,○,大島綾華,山口稀良莉,●,,
2025-12-11,清麗戦,予選,●,木村朱里,西山朋佳,○,,
2025-12-12,女流順位戦,A級,●,山根ことみ,渡部愛,○,,
2025-12-12,女流順位戦,A級,○,伊藤沙恵,加藤圭,●,,
2025-12-12,女流順位戦,A級,●,上田初美,福間香奈,○,,
2025-12-12,女流順位戦,A級,●,野原未蘭,加藤桃子,○,,
2025-12-12,女流順位戦,A級,●,鈴木環那,石本さくら,○,,
2025-12-12,女流順位戦,B級,●,千葉涼子,香川愛生,○,,
2025-12-12,女流順位戦,B級,○,和田あき,小高佐季子,●,,
2025-12-12,女流順位戦,B級,●,塚田恵梨花,加藤結李愛,○,,
2025-12-12,女流順位戦,B級,○,中井広恵,伊奈川愛菓,●,,
2025-12-12,女流順位戦,B級,●,清水市代,中村真梨花,○,,
2025-12-12,清麗戦,予選,○,佐々木海法,島井咲緒里,●,,
2025-12-12,清麗戦,予選,○,中七海,砂原奏,●,,
2025-12-12,清麗戦,予選,○,八木日和,久保翔子,●,,
2025-12-12,女流王位戦,挑決リーグ,○,山口恵梨子,西山朋佳,●,,
2025-12-15,清麗戦,予選,●,山口仁子梨,堀彩乃,○,,
2025-12-15,女流王位戦,挑決リーグ,○,中七海,伊藤沙恵,●,,
2025-12-16,清麗戦,予選,●,和田あき,内山あや,○,,
2025-12-16,清麗戦,予選,○,宮宗紫野,野原未蘭,●,,
2025-12-16,女流名人戦,予選,○,竹部さゆり,藤田綾,●,,
2025-12-17,清麗戦,予選,●,山口恵梨子,中井広恵,○,,
2025-12-17,清麗戦,予選,●,川又咲紀,室谷由紀,○,,
2025-12-17,清麗戦,予選,●,相川春香,本田小百合,○,,
2025-12-17,女流名人戦,予選,●,飯野愛,高浜愛子,○,,
2025-12-17,女流名人戦,予選,○,山根ことみ,頼本奈菜,●,,
2025-12-17,女流名人戦,予選,○,藤井奈々,村田智穂,●,,
2025-12-17,女流名人戦,予選,○,八木日和,崎原知宙,●,,
2025-12-17,女流王位戦,挑決リーグ,●,渡部愛,磯谷祐維,○,,
2025-12-17,女流王位戦,挑決リーグ,●,木村朱里,加藤桃子,○,,
2025-12-18,清麗戦,予選,●,上田初美,松下舞琳,○,,
2025-12-18,清麗戦,予選,●,和田はな,小高佐季子,○,,
2025-12-18,女流名人戦,予選,●,石高澄恵,上川香織,○,,
2025-12-18,女流名人戦,予選,●,岩佐美帆子,室田伊緒,○,,
2025-12-19,清麗戦,予選,○,北村桂香,中倉宏美,●,,
2025-12-19,清麗戦,予選,○,脇田菜々子,塚田恵梨花,●,,
2025-12-19,清麗戦,予選,○,岩崎夏子,石本さくら,●,,
2025-12-19,女流名人戦,予選,○,武富礼衣,砂原奏,●,,
2025-12-19,女流名人戦,予選,○,梅津美琴,千葉涼子,●,,
2025-12-19,女流名人戦,予選,●,渡辺弥生,田中沙紀,○,,
2025-12-19,女流名人戦,予選,○,香川愛生,加藤圭,●,,
2025-12-22,女流名人戦,予選,○,加藤結李愛,宮宗紫野,●,,
2025-12-22,女流王位戦,挑決リーグ,●,山根ことみ,岩崎夏子,○,,
2025-12-23,清麗戦,予選,○,千葉涼子,頼本奈菜,●,,
2025-12-23,女流名人戦,予選,●,清水市代,中村真梨花,○,,
2025-12-23,女流名人戦,予選,○,磯谷祐維,鎌田美礼,●,,
2025-12-23,女流名人戦,予選,○,山口仁子梨,伊藤真央,●,,
2025-12-23,女流名人戦,予選,○,川又咲紀,榊菜吟,●,,
2025-12-23,女流名人戦,予選,●,佐々木海法,久保翔子,○,,
2025-12-23,女流王位戦,挑決リーグ,○,伊藤沙恵,上田初美,●,,
2025-12-23,女流王位戦,挑決リーグ,○,大島綾華,中七海,●,,
2025-12-24,女流名人戦,予選,○,野原未蘭,高浜愛子,●,,
2025-12-24,女流名人戦,予選,○,岩根忍,礒谷真帆,●,,
2025-12-24,女流名人戦,予選,●,中倉宏美,伊奈川愛菓,○,,
